initial_other_choice,other_name,tl_p,tl_o,bl_p,bl_o,tr_p,tr_o,br_p,br_o,practice_intro_loop.thisRepN,practice_intro_loop.thisTrialN,practice_intro_loop.thisN,practice_intro_loop.thisIndex,initial_choice_loop.thisRepN,initial_choice_loop.thisTrialN,initial_choice_loop.thisN,initial_choice_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,order,intro_mouse.x,intro_mouse.y,intro_mouse.leftButton,intro_mouse.midButton,intro_mouse.rightButton,intro_mouse.clicked_name,username_resp.keys,name_mouse.x,name_mouse.y,name_mouse.leftButton,name_mouse.midButton,name_mouse.rightButton,name_mouse.clicked_name,selected_avatar,avatar_mouse.x,avatar_mouse.y,avatar_mouse.leftButton,avatar_mouse.midButton,avatar_mouse.rightButton,other_avatar,other_introduction_text_2.started,participant_avatar_other_intro_2.started,other_avatar_other_intro_2.started,continue_other_intro_text_2.started,other_intro_mouse_2.started,left_text,right_text,choice,other_choice,participant_points,other_points,participant_points_total,other_points_total,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.clicked_name,trial_outcome_choice_text.started,outcome_p_points_text.started,outcome_other_points_text.started,other_choice_text.started,trial_outcome_continue_text.started,trial_outcome_continue_mouse.started,participant_avatar_trial_outcome.started,other_avatar_trial_outcome.started,p_trial_outcome_total.started,o_trial_outcome_total.started,participant_avatar_outcome_scoreboard.started,other_avatar_trial_outcome_scoreboard.started,participant_trial_outcome_scoreboard_name.started,other_trial_outcome_scoreboard_name.started,total_points_scoreboard.started,p_total_text.started,o_total_text.started,participant_avatar_scoreboard.started,participant_name_text.started,other_name_text.started,other_avatar_scoreboard.started,name_header.started,total_point_header.started,scoreboard_cont_text.started,scoreabord_mouse.started,scoreboard_intro_text.started,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,B,-0.16875,-0.8,1,0,0,continue_intro_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16875,-0.8,1,0,0,continue_name_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avatar1,-0.4140625,0.2625,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Cooperate,Jo,2,2,0,3,3,0,1,1,,,,,0,0,0,0,0,15,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Cooperate,3,0,431,488,-0.1390625,-0.785,1,0,0,left_choice,59.003966582997236,59.003966582997236,59.003966582997236,59.003966582997236,59.003966582997236,0.051990458043292165,59.003966582997236,59.003966582997236,59.003966582997236,59.003966582997236,59.003966582997236,59.003966582997236,59.003966582997236,59.003966582997236,59.003966582997236,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Cooperate,Jo,14,14,0,21,21,0,7,7,,,,,0,0,0,0,0,16,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Defect,7,7,438,495,-0.134375,-0.79,1,0,0,left_choice,60.88354375003837,60.88354375003837,60.88354375003837,60.88354375003837,60.88354375003837,0.038987375039141625,60.88354375003837,60.88354375003837,60.88354375003837,60.88354375003837,60.88354375003837,60.88354375003837,60.88354375003837,60.88354375003837,60.88354375003837,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Cooperate,Jo,8,8,0,12,12,0,4,4,,,,,0,0,0,0,0,17,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Defect,4,4,442,499,-0.11875,-0.7475,1,0,0,left_choice,62.70553962502163,62.70553962502163,62.70553962502163,62.70553962502163,62.70553962502163,0.03743433399358764,62.70553962502163,62.70553962502163,62.70553962502163,62.70553962502163,62.70553962502163,62.70553962502163,62.70553962502163,62.70553962502163,62.70553962502163,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Cooperate,Jo,62,62,0,93,93,0,31,31,,,,,0,0,0,0,0,18,18,16,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Defect,31,31,473,530,-0.159375,-0.73,1,0,0,left_choice,65.1384065420134,65.1384065420134,65.1384065420134,65.1384065420134,65.1384065420134,0.03739370795665309,65.1384065420134,65.1384065420134,65.1384065420134,65.1384065420134,65.1384065420134,65.1384065420134,65.1384065420134,65.1384065420134,65.1384065420134,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Cooperate,Jo,68,68,0,102,102,0,34,34,,,,,0,0,0,0,0,19,19,18,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Defect,0,102,473,632,-0.1625,-0.765,1,0,0,left_choice,66.82341916701989,66.82341916701989,66.82341916701989,66.82341916701989,66.82341916701989,0.03842950001126155,66.82341916701989,66.82341916701989,66.82341916701989,66.82341916701989,66.82341916701989,66.82341916701989,66.82341916701989,66.82341916701989,66.82341916701989,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Cooperate,Jo,88,88,0,132,132,0,44,44,,,,,0,0,0,0,0,20,20,23,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Cooperate,88,88,561,720,-0.1421875,-0.805,1,0,0,left_choice,68.97215220803628,68.97215220803628,68.97215220803628,68.97215220803628,68.97215220803628,0.041128374985419214,68.97215220803628,68.97215220803628,68.97215220803628,68.97215220803628,68.97215220803628,68.97215220803628,68.97215220803628,68.97215220803628,68.97215220803628,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Cooperate,Jo,96,96,0,144,144,0,48,48,,,,,0,0,0,0,0,21,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Cooperate,96,96,657,816,-0.14375,-0.8075,0,0,0,left_choice,71.78929075004999,71.78929075004999,71.78929075004999,71.78929075004999,71.78929075004999,0.03793320897966623,71.78929075004999,71.78929075004999,71.78929075004999,71.78929075004999,71.78929075004999,71.78929075004999,71.78929075004999,71.78929075004999,71.78929075004999,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Cooperate,Jo,84,84,0,126,126,0,42,42,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Cooperate,126,0,783,816,-0.1265625,-0.7725,1,0,0,left_choice,73.51715287502157,73.51715287502157,73.51715287502157,73.51715287502157,73.51715287502157,0.03919695800868794,73.51715287502157,73.51715287502157,73.51715287502157,73.51715287502157,73.51715287502157,73.51715287502157,73.51715287502157,73.51715287502157,73.51715287502157,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Cooperate,Jo,12,12,0,18,18,0,6,6,,,,,0,0,0,0,0,23,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Defect,Defect,6,6,789,822,-0.146875,-0.675,0,0,0,left_choice,75.1894673750503,75.1894673750503,75.1894673750503,75.1894673750503,75.1894673750503,0.03831120900576934,75.1894673750503,75.1894673750503,75.1894673750503,75.1894673750503,75.1894673750503,75.1894673750503,75.1894673750503,75.1894673750503,75.1894673750503,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Cooperate,Jo,70,70,0,105,105,0,35,35,,,,,0,0,0,0,0,24,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Defect,0,105,789,927,-0.14375,-0.7375,1,0,0,left_choice,76.9349338330212,76.9349338330212,76.9349338330212,76.9349338330212,76.9349338330212,0.03977291705086827,76.9349338330212,76.9349338330212,76.9349338330212,76.9349338330212,76.9349338330212,76.9349338330212,76.9349338330212,76.9349338330212,76.9349338330212,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Cooperate,Jo,100,100,0,150,150,0,50,50,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,Defect,Cooperate,Defect,Cooperate,150,0,939,927,-0.1203125,-0.77,1,0,0,left_choice,82.03622145799454,82.03622145799454,82.03622145799454,82.03622145799454,82.03622145799454,0.04147283296333626,82.03622145799454,82.03622145799454,82.03622145799454,82.03622145799454,82.03622145799454,82.03622145799454,82.03622145799454,82.03622145799454,82.03622145799454,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Cooperate,Jo,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.89992237504339,82.89992237504339,82.89992237504339,82.89992237504339,82.89992237504339,82.89992237504339,82.89992237504339,82.89992237504339,82.89992237504339,0.03296624997165054,82.89992237504339,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Defect,Alex,6,6,0,9,9,0,3,3,,,,,0,1,1,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,avatar2.png,101.78897312504705,101.78897312504705,101.78897312504705,101.78897312504705,0.02944399998523295,Defect,Cooperate,Cooperate,Defect,0,9,0,9,0.084375,-0.7375,1,0,0,right_choice,109.22756483301055,109.22756483301055,109.22756483301055,109.22756483301055,109.22756483301055,0.05713220901088789,109.22756483301055,109.22756483301055,109.22756483301055,109.22756483301055,109.22756483301055,109.22756483301055,109.22756483301055,109.22756483301055,109.22756483301055,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Defect,Alex,46,46,0,69,69,0,23,23,,,,,0,1,1,1,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Defect,Cooperate,69,0,69,9,0.121875,-0.6925,1,0,0,right_choice,111.95370729203569,111.95370729203569,111.95370729203569,111.95370729203569,111.95370729203569,0.041726832976564765,111.95370729203569,111.95370729203569,111.95370729203569,111.95370729203569,111.95370729203569,111.95370729203569,111.95370729203569,111.95370729203569,111.95370729203569,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Defect,Alex,88,88,0,132,132,0,44,44,,,,,0,1,1,1,0,2,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Defect,0,132,69,141,-0.171875,-0.8075,1,0,0,left_choice,115.53779820800992,115.53779820800992,115.53779820800992,115.53779820800992,115.53779820800992,0.04175908304750919,115.53779820800992,115.53779820800992,115.53779820800992,115.53779820800992,115.53779820800992,115.53779820800992,115.53779820800992,115.53779820800992,115.53779820800992,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
Defect,Alex,54,54,0,81,81,0,27,27,,,,,0,1,1,1,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooperate,Defect,Cooperate,Cooperate,54,54,123,195,-0.1375,-0.685,1,0,0,left_choice,117.15961558301933,117.15961558301933,117.15961558301933,117.15961558301933,117.15961558301933,0.03989720897516236,117.15961558301933,117.15961558301933,117.15961558301933,117.15961558301933,117.15961558301933,117.15961558301933,117.15961558301933,117.15961558301933,117.15961558301933,,,,,,,,,,,,,2022-09-18_19h56.06.518,PD,2022.2.4,None,
